Profile,Data set,Iteration,Function name,Calls,Calls (relative),Self time,Self time (relative),Proportion,Proportion (relative)
"TopN_Outlier_Pruning_Block_SORTED","magicgamma","average","best_outliers",476,2.8238664890162e-05,0.00333333333333333,0.000205676676264912,0.01,9.99200639488409e-05
"TopN_Outlier_Pruning_Block_SORTED","magicgamma","average","distance_squared",8427444,0.499957493690349,13.7666666666667,0.849444672974085,85.02,0.849520383693045
"TopN_Outlier_Pruning_Block_SORTED","magicgamma","average","merge",476,2.8238664890162e-05,0,0,0,0
"TopN_Outlier_Pruning_Block_SORTED","magicgamma","average","read_vardump",1,5.93249262398361e-08,0,0,0,0
"TopN_Outlier_Pruning_Block_SORTED","magicgamma","average","set_num_vectors",2,1.18649852479672e-07,0.01,0.000617030028794734,0.06,0.000599520383693046
"TopN_Outlier_Pruning_Block_SORTED","magicgamma","average","sort_block_scores_descending",476,2.8238664890162e-05,0,0,0,0
"TopN_Outlier_Pruning_Block_SORTED","magicgamma","average","test",1,5.93249262398361e-08,0,0,0,0
"TopN_Outlier_Pruning_Block_SORTED","magicgamma","average","top_n_outlier_pruning_block",1,5.93249262398361e-08,2.27333333333333,0.14027149321267,14.0533333333333,0.140420996536104
"TopN_Outlier_Pruning_Block_UNSORTED","magicgamma","average","add_neighbour",8427444,0.499957493690349,0.88,0.0519889720362347,5.20666666666667,0.0520250466293632
"TopN_Outlier_Pruning_Block_UNSORTED","magicgamma","average","best_outliers",476,2.8238664890162e-05,0,0,0,0
"TopN_Outlier_Pruning_Block_UNSORTED","magicgamma","average","distance_squared",8427444,0.499957493690349,13.7966666666667,0.815084679007483,81.5633333333333,0.81498134825473
"TopN_Outlier_Pruning_Block_UNSORTED","magicgamma","average","merge",476,2.8238664890162e-05,0,0,0,0
"TopN_Outlier_Pruning_Block_UNSORTED","magicgamma","average","read_vardump",1,5.93249262398361e-08,0,0,0,0
"TopN_Outlier_Pruning_Block_UNSORTED","magicgamma","average","set_num_vectors",2,1.18649852479672e-07,0.00333333333333333,0.000196927924379677,0.02,0.000199840127897682
"TopN_Outlier_Pruning_Block_UNSORTED","magicgamma","average","sort_block_scores_descending",476,2.8238664890162e-05,0,0,0,0
"TopN_Outlier_Pruning_Block_UNSORTED","magicgamma","average","test",1,5.93249262398361e-08,0,0,0,0
"TopN_Outlier_Pruning_Block_UNSORTED","magicgamma","average","top_n_outlier_pruning_block",1,5.93249262398361e-08,2.24666666666667,0.132729421031902,13.29,0.13279376498801
"TopN_Outlier_Pruning_Block_NO_BLOCKING","mesh_network","average","add_neighbour",641730,0.499827479178723,0.01,0.0092879256965944,0.933333333333333,0.00932400932400932
"TopN_Outlier_Pruning_Block_NO_BLOCKING","mesh_network","average","best_outliers",219,0.000170573633677934,0,0,0,0
