Profile,Data set,Iteration,Function Name,Calls,Calls (relative),Total time,Total time (relative),Self time,Self time (relative)
"C_no_blocking","ball1","average","sparfun/private/iterchk",400,0.0071707290838796,0.12,0.00266010507415043,0.0166666666666667,0.00189746119691852
"C_no_blocking","ball1","average","sparfun/private/itermsg",200,0.0035853645419398,0.136666666666667,0.00302956411222688,0.0433333333333333,0.00493339911198816
"C_no_blocking","ball1","average","sparfun/private/itermsg>getIterationInfo",200,0.0035853645419398,0.07,0.00155172795992108,0.04,0.00455390687260446
"C_no_blocking","ball1","average","splitforest (MEX-file)",1,1.7926822709699e-05,0,0,0,0
"C_no_blocking","ball1","average","steiner_group",1,1.7926822709699e-05,0.00333333333333333,7.38918076152897e-05,0,0
"C_no_blocking","ball1","average","strcat",4,7.1707290838796e-05,0.0133333333333333,0.000295567230461159,0.0133333333333333,0.00151796895753482
"C_no_blocking","ball1","average","tempdir",2,3.5853645419398e-05,0,0,0,0
"C_no_blocking","ball1","average","tempname",2,3.5853645419398e-05,0.00333333333333333,7.38918076152897e-05,0.00333333333333333,0.000379492239383705
"C_no_blocking","ball1","average","uitools/private/allchildRootHelper",2,3.5853645419398e-05,0,0,0,0
"C_no_blocking","ball1","average","unique",6,0.000107560936258194,0.0166666666666667,0.000369459038076449,0.00666666666666667,0.000758984478767409
"C_no_blocking","ball1","average","unique>uniquelegacy",6,0.000107560936258194,0.01,0.000221675422845869,0.01,0.00113847671815111
"C_no_blocking","ball1","average","update_groups (MEX-file)",1,1.7926822709699e-05,0,0,0,0
"C_no_blocking","ball1","average","usejava",3,5.3780468129097e-05,0,0,0,0
"C_sorted","ball1","average","...-4.0.1/private/get_matlab_bgl_options",2,3.5853645419398e-05,0.00333333333333333,7.47451191437199e-05,0.00333333333333333,0.000380763812207288
"C_sorted","ball1","average","..._distance_anomaly_profiling>drawGraph",1,1.7926822709699e-05,2.58266666666667,0.0579125183125542,0.663,0.0757339222480295
"C_sorted","ball1","average","..._distance_anomaly_profiling>euclidean",1,1.7926822709699e-05,0,0,0,0
"C_sorted","ball1","average","...all>showHiddenHandlesToFindAllHandles",13,0.000233048695226087,0,0,0,0
"C_sorted","ball1","average","...d>create@(b)mx_d_preconditioner(sH,b)",1,1.7926822709699e-05,0,0,0,0
"C_sorted","ball1","average","...e/inputcheck>LocalCheckForDeprecation",1,1.7926822709699e-05,0.00333333333333333,7.47451191437199e-05,0.00333333333333333,0.000380763812207288
"C_sorted","ball1","average","...ing>TopN_Outlier_Pruning_Block_CTD_ST",1,1.7926822709699e-05,1.806,0.0404969055520674,0.0333333333333333,0.00380763812207288
"C_sorted","ball1","average","...maly_profiling>connect_components_MST",1,1.7926822709699e-05,0.00333333333333333,7.47451191437199e-05,0,0
"C_sorted","ball1","average","...maly_profiling>connect_components_mix",1,1.7926822709699e-05,0.00333333333333333,7.47451191437199e-05,0,0
"C_sorted","ball1","average","...omaly_profiling>knn_components_sparse",1,1.7926822709699e-05,0.876333333333333,0.019650491822884,0.529666666666667,0.060503369759738
"C_sorted","ball1","average","...rgsForHandleToPrint>LocalCheckHandles",3,5.3780468129097e-05,0.00666666666666667,0.00014949023828744,0.00666666666666667,0.000761527624414575
"C_sorted","ball1","average","...rivate/render>LocalPrintJob2Arguments",1,1.7926822709699e-05,0,0,0,0
"C_sorted","ball1","average","...set(rootobj,'ShowHiddenHandles',Temp)",30,0.00053780468129097,0,0,0,0
"C_sorted","ball1","average","PCADR",1,1.7926822709699e-05,0,0,0,0
"C_sorted","ball1","average","TopN_Outlier_Pruning_Block_C_SORTED (MEX-file)",1,1.7926822709699e-05,0.0466666666666667,0.00104643166801208,0.0466666666666667,0.00533069337090203
"C_sorted","ball1","average","adjacency_cmg (MEX-file)",1,1.7926822709699e-05,0,0,0,0
"C_sorted","ball1","average","allchild",2,3.5853645419398e-05,0.0633333333333333,0.00142015726373068,0.0633333333333333,0.00723451243193846
