Data set,Block size,Iteration,Dimensions,Vectors,Total time,Total time (normalised),Projected dimensions,Projected vectors,Function time,Function time (normalised),Distance calls,Distance calls (normalised),Pruned,Pruned (normalised)
"runningex1k",1000,1,2,1000,16.077,0.996590627324572,200,1000,0.309,0.996774193548387,15042414,0.83386378293663,16541,1
"runningex1k",10000,1,2,1000,16.098,0.997892387800644,200,1000,0.310,1,16041414,0.889242521957753,16541,1
"runningex1k",100000,1,2,1000,16.128,0.999752045623605,200,1000,0.310,1,17040414,0.944621260978877,16541,1
"runningex1k",1000000,1,2,1000,16.132,1,200,1000,0.310,1,18039414,1,16541,1
"runningex20k",0,1,2,20000,610.320,0.867255807212069,200,20000,35.050,0.374669959058889,217999225,0.0590099597499484,36599,0.0994700222862423
"runningex20k",1,1,2,20000,612.131,0.869829211765191,200,20000,37.453,0.400357032143583,997647367,0.270052019548748,182994,0.497347393596782
"runningex20k",10,1,2,20000,595.652,0.846412793415722,200,20000,31.820,0.34014259906573,1168726161,0.316361141739479,202561,0.550527259879328
"runningex20k",15,1,2,20000,601.402,0.854583459445787,200,20000,31.875,0.340730526248276,1339847933,0.362681897595652,222125,0.603698972658586
"runningex20k",30,1,2,20000,601.461,0.854667297584183,200,20000,31.727,0.339148467647971,1511107670,0.409039999039163,241680,0.656846224927977
"runningex20k",40,1,2,20000,605.993,0.861107203401271,200,20000,32.154,0.343712920501555,1682489163,0.455431058474425,261227,0.709971734521933
"runningex20k",45,1,2,20000,593.557,0.843435829009985,200,20000,31.311,0.334701600230895,1853937043,0.501840088130443,280771,0.7630890906126
"runningex20k",60,1,2,20000,602.363,0.855949026411856,200,20000,31.286,0.334434360602465,2025449884,0.548266702004916,300315,0.816206446703267
"runningex20k",90,1,2,20000,606.695,0.862104735149637,200,20000,31.575,0.337523650707116,2197276910,0.594778362256063,319841,0.869274881774202
"runningex20k",100,1,2,20000,602.748,0.856496105789521,200,20000,31.446,0.336144694224417,2369108313,0.641291207312311,339365,0.922337881176279
"runningex20k",1000,1,2,20000,611.871,0.869459755562092,200,20000,35.508,0.379565789051727,2557670911,0.692333000320179,358032,0.973071696472251
"runningex20k",10000,1,2,20000,661.167,0.939508651669587,200,20000,73.487,0.785545542977477,2894318490,0.783459746696032,367940,1
"runningex20k",100000,1,2,20000,693.670,0.985694940013101,200,20000,89.063,0.952046521074517,3294298490,0.891729873348016,367940,1
"runningex20k",1000000,1,2,20000,703.737,1,200,20000,93.549,1,3694278490,1,367940,1
"runningex30k",0,1,2,30000,1036.820,0.820054242124887,200,30000,76.269,0.382067106831912,378351763,0.0604199121883972,29664,0.0940183130330604
"runningex30k",1,1,2,30000,1103.984,0.873176407127564,200,30000,89.291,0.447300397751751,378351763,0.0604199121883972,29664,0.0940183130330604
"runningex30k",10,1,2,30000,1071.343,0.847359591752476,200,30000,70.471,0.353022211980643,756821591,0.120858678463468,59323,0.188020778858557
"runningex30k",15,1,2,30000,1064.452,0.84190927850381,200,30000,69.632,0.348819268417309,1135324748,0.181302767127516,88981,0.282020075242542
"runningex30k",30,1,2,30000,1066.129,0.843235671671421,200,30000,69.309,0.347201210287443,1514034926,0.241779915477985,118630,0.375990846652911
"runningex30k",40,1,2,30000,1059.730,0.838174497026491,200,30000,68.419,0.342742783861498,1893036287,0.302303563549113,148269,0.469929923648154
